id,jenis_kelamin,usia,tahun,akreditasi_sekolah,prov,kls10_sem1_Matematika,kls10_sem1_Fisika,kls10_sem1_Kimia,kls10_sem1_Biologi,kls10_sem1_BhsIndonesia,kls10_sem1_BhsInggris,kls10_sem2_Matematika,kls10_sem2_Fisika,kls10_sem2_Kimia,kls10_sem2_Biologi,kls10_sem2_BhsIndonesia,kls10_sem2_BhsInggris,kls11_sem1_Matematika,kls11_sem1_Fisika,kls11_sem1_Kimia,kls11_sem1_Biologi,kls11_sem1_BhsIndonesia,kls11_sem1_BhsInggris,kls11_sem2_Matematika,kls11_sem2_Fisika,kls11_sem2_Kimia,kls11_sem2_Biologi,kls11_sem2_BhsIndonesia,kls11_sem2_BhsInggris,kls12_sem1_Matematika,kls12_sem1_Fisika,kls12_sem1_Kimia,kls12_sem1_Biologi,kls12_sem1_BhsIndonesia,kls12_sem1_BhsInggris,status_kelulusan
10719,L,18.0,2023,A,Prov. Jawa Timur,90.0,95.0,93.0,86.0,90.0,95.0,97.0,97.0,95.0,88.0,90.0,98.0,88.0,93.0,92.0,91.0,90.0,93.0,94.0,94.0,94.0,92.0,93.0,94.0,94.0,94.0,96.0,93.0,91.0,95.0,Tidak Lulus
10720,L,18.0,2023,A,Prov. D.I. Yogyakarta,83.0,92.0,84.0,87.0,85.0,90.0,86.0,93.0,79.0,85.0,91.0,87.0,87.0,85.0,91.0,88.0,90.0,87.0,85.0,86.0,84.0,91.0,87.0,91.0,93.0,91.0,87.0,92.0,93.0,91.0,Lulus
20081,P,19.0,2022,A,Prov. Jawa Tengah,83.0,76.0,80.0,82.0,81.0,89.0,86.0,81.0,80.0,84.0,82.0,90.0,90.0,86.0,82.0,86.0,84.0,91.0,92.0,88.0,84.0,91.0,91.0,92.0,93.0,91.0,88.0,91.0,92.0,92.0,Tidak Lulus
20082,L,18.0,2022,A,Prov. Jawa Timur,95.0,83.0,84.0,85.0,82.0,81.0,92.0,85.0,89.0,86.0,85.0,84.0,96.0,88.0,93.0,90.0,92.0,88.0,98.0,91.0,87.0,91.0,88.0,86.0,99.0,88.0,88.0,88.0,92.0,86.0,Tidak Lulus
20085,L,19.0,2022,A,Prov. Jawa Timur,80.0,81.0,90.0,84.0,80.0,80.0,86.0,84.0,94.0,86.0,80.0,84.0,88.0,93.0,92.0,87.0,83.0,89.0,90.0,93.0,92.0,91.0,87.0,91.0,90.0,94.0,92.0,95.0,87.0,91.0,Tidak Lulus
20088,L,18.0,2022,A,Prov. Jawa Timur,89.0,86.0,90.0,84.0,86.0,89.0,90.0,88.0,91.0,86.0,88.0,90.0,92.0,88.0,95.0,89.0,90.0,91.0,90.0,90.0,94.0,92.0,91.0,91.0,98.0,95.0,97.0,94.0,95.0,92.0,Tidak Lulus
20089,L,18.0,2022,A,Prov. Banten,75.0,74.0,76.0,78.0,80.0,77.0,78.0,79.0,80.0,80.0,81.0,77.0,82.0,82.0,83.0,83.0,85.0,84.0,85.0,85.0,85.0,88.0,84.0,88.0,90.0,89.0,88.0,90.0,87.0,90.0,Tidak Lulus
20090,L,18.0,2022,A,Prov. Jawa Timur,84.0,86.0,84.0,84.0,88.0,86.0,86.0,88.0,84.0,86.0,89.0,87.0,85.0,89.0,86.0,88.0,89.0,88.0,89.0,91.0,88.0,88.0,91.0,90.0,91.0,92.0,89.0,91.0,93.0,93.0,Lulus
20091,L,19.0,2022,A,Prov. Jawa Timur,86.0,88.0,81.0,84.0,85.0,86.0,89.0,89.0,83.0,85.0,89.0,88.0,92.0,90.0,84.0,83.0,88.0,89.0,91.0,93.0,85.0,84.0,88.0,90.0,91.0,94.0,87.0,90.0,89.0,91.0,Tidak Lulus
20092,P,20.0,2022,A,Prov. D.K.I. Jakarta,91.0,82.0,88.0,87.0,85.0,94.0,87.0,84.0,84.0,86.0,85.0,84.0,79.0,87.0508486601539,86.99281348903197,87.26422098482367,83.0,82.0,77.0,88.52815396358085,88.35412894076578,88.68167784868817,85.0,82.0,75.0,90.04345757779271,89.9615298528342,90.2020933616926,86.0,87.0,Tidak Lulus
