id,pres1_jenjang,pres2_jenjang,pres3_jenjang,juara_pres1,juara_pres2,juara_pres3
10719,Nasional,Nasional,Nasional,,,
10720,Nasional,Nasional,,Medali Emas,Medali Perunggu,
20081,,,,,,
20082,Nasional,,,,,
20085,Nasional,Nasional,,,,
20088,Nasional,Nasional,Nasional,,,
20089,,,,,,
20090,Nasional,Nasional,Nasional,Juara 1,Juara 1,Juara 1
20091,Nasional,,,,,
20092,Nasional,,,Juara 2,,
20094,Propinsi,Nasional,Nasional,,,
20096,Nasional,Nasional,Internasional,Medali Perak,Juara 1,Juara 1
20097,,,,,,
20099,Kabupaten/Kota,Nasional,Nasional,Juara 1,,
20100,,,,,,
20101,Nasional,Nasional,Nasional,,,
20103,Nasional,Nasional,Nasional,Medali Perak,Medali Perunggu,Medali Perunggu
20105,Nasional,Nasional,Nasional,,,
20106,Nasional,Nasional,Nasional,Medali Emas,Medali Perak,Medali Perak
20107,Nasional,Nasional,,,,
20108,,,,,,
20110,Kabupaten/Kota,Nasional,Nasional,,,
20114,,,,,,
20115,,,,,,
20116,,,,,,
20117,Nasional,Nasional,Propinsi,,Juara 1,Juara 1
20118,Nasional,Nasional,Nasional,,Medali Perak,
20119,Kabupaten/Kota,Propinsi,Nasional,,Juara 3,Medali Emas
20121,,,,,,
20122,,,,,,
20123,Nasional,Kabupaten/Kota,Kabupaten/Kota,Juara 1,Juara 2,
20126,Kabupaten/Kota,,,,,
20129,Nasional,,,Medali Perak,,
20130,,,,,,
20131,Nasional,Nasional,Kabupaten/Kota,Juara 1,Medali Emas,Juara 1
20135,,,,,,
20136,Internasional,Kabupaten/Kota,Nasional,,,
20139,Kabupaten/Kota,,,Juara 3,,
20141,,,,,,
20142,,,,,,
20143,Propinsi,Propinsi,,Juara 1,Juara 3,
20144,,,,,,
20145,,,,,,
20147,,,,,,
20148,Nasional,Nasional,Nasional,Medali Perak,Medali Emas,Medali Emas
20149,,,,,,
20150,,,,,,
20151,Nasional,Nasional,,Juara 1,Juara 1,
20153,Nasional,Nasional,Propinsi,,,
20154,Nasional,Nasional,Kabupaten/Kota,Medali Emas,Medali Perunggu,
20155,,,,,,
20156,Propinsi,Propinsi,,,,
20157,,,,,,
20158,,,,,,
20159,Nasional,Nasional,Nasional,Juara 3,Juara 2,
20160,,,,,,
20161,,,,,,
20162,Propinsi,Kabupaten/Kota,,Juara 3,Juara 1,
20164,Nasional,Nasional,Nasional,Medali Perak,Medali Perak,Medali Perak
20165,,,,,,
20166,Kabupaten/Kota,Nasional,,Juara 3,,
20168,Nasional,Nasional,Internasional,Juara 2,Juara 1,Medali Emas
20170,,,,,,
20173,Kabupaten/Kota,,,,,
20174,Nasional,Propinsi,Nasional,Medali Emas,,Medali Emas
20177,Nasional,Nasional,Nasional,Juara 1,,
20178,Nasional,Nasional,Nasional,Juara 2,Medali Perunggu,
20180,Nasional,Nasional,Nasional,Juara 3,,
20182,,,,,,
20183,,,,,,
20184,Nasional,,,,,
20185,,,,,,
20186,Nasional,,,,,
20187,Internasional,Internasional,Internasional,Juara 1,Juara 1,Juara 1
20188,,,,,,
20189,Nasional,,,Medali Emas,,
20194,,,,,,
20196,,,,,,
20197,Nasional,Nasional,Nasional,Medali Emas,Medali Emas,Medali Perunggu
20198,Nasional,Nasional,,Medali Perak,Juara 3,
20199,Propinsi,Propinsi,,Juara 3,,
20200,,,,,,
20201,Internasional,Internasional,Internasional,Medali Emas,Medali Emas,Medali Perak
20202,Internasional,Nasional,Nasional,Juara 1,,
20203,Nasional,Nasional,Propinsi,Medali Emas,Medali Perunggu,Juara 2
20205,Nasional,,,,,
20207,Nasional,Nasional,,,,
20209,Propinsi,Kabupaten/Kota,Nasional,Juara 3,Juara 3,
20210,,,,,,
20211,,,,,,
20213,Nasional,,,Medali Perunggu,,
20214,Nasional,Nasional,Propinsi,,Medali Emas,Juara 1
20215,,,,,,
20217,Kabupaten/Kota,Propinsi,,Juara 2,,
20218,Kabupaten/Kota,Propinsi,,,,
20220,Nasional,Kabupaten/Kota,,Medali Perunggu,Juara 1,
20221,,,,,,
20223,Nasional,Nasional,,,,
20224,Nasional,Nasional,Kabupaten/Kota,,,Juara 1
20225,Nasional,Nasional,Propinsi,Juara 1,,Juara 2
20229,,,,,,
20232,Internasional,,,Medali Emas,,
20234,,,,,,
20235,Nasional,Propinsi,Internasional,Juara 3,Juara 1,
20237,Kabupaten/Kota,,,Juara 1,,
20247,,,,,,
20249,Nasional,,,Juara 1,,
20250,Kabupaten/Kota,Kabupaten/Kota,Nasional,Juara 3,Juara 1,
20251,Nasional,Internasional,Nasional,,,
20252,Kabupaten/Kota,Nasional,,,,
20253,Kabupaten/Kota,Kabupaten/Kota,Nasional,Juara 1,,
20254,Nasional,,,,,
20255,,,,,,
20256,,,,,,
20257,,,,,,
20258,Internasional,Nasional,Nasional,Medali Perak,,
20259,,,,,,
20260,,,,,,
20261,,,,,,
20262,,,,,,
20265,Propinsi,,,,,
20266,,,,,,
20268,Nasional,Nasional,Nasional,Medali Emas,Medali Emas,Medali Emas
20270,,,,,,
20272,,,,,,
20274,,,,,,
20275,,,,,,
20277,Nasional,,,,,
20281,,,,,,
20282,,,,,,
20284,Internasional,Kabupaten/Kota,,,,
20286,,,,,,
20287,Nasional,Nasional,Nasional,Juara 1,Juara 1,
20290,,,,,,
20291,,,,,,
20293,,,,,,
20294,,,,,,
20295,Nasional,Nasional,Nasional,,,
20296,Propinsi,Propinsi,,,,
20298,,,,,,
20299,Nasional,,,,,
20300,,,,,,
20301,Nasional,Propinsi,Nasional,Juara 1,,
20302,,,,,,
20306,Nasional,Propinsi,Nasional,Juara 3,Juara 2,
20307,Nasional,Nasional,,Medali Perunggu,Medali Perak,
20308,,,,,,
20309,Kabupaten/Kota,Propinsi,,Juara 2,,
20310,Nasional,Nasional,Nasional,Juara 1,Juara 2,Juara 2
20311,,,,,,
20312,,,,,,
20315,Propinsi,Nasional,,Juara 1,,
20316,,,,,,
20317,Nasional,Nasional,,Juara 2,,
20318,Nasional,Nasional,,Juara 1,Juara 2,
20319,Nasional,Propinsi,Kabupaten/Kota,,,
20321,,,,,,
20322,,,,,,
20324,Internasional,,,Juara 3,,
20327,,,,,,
20328,Nasional,Nasional,,,Medali Perunggu,
20329,Nasional,Kabupaten/Kota,Nasional,,Juara 1,Juara 3
20330,,,,,,
20331,,,,,,
20332,,,,,,
20333,Internasional,Nasional,Nasional,Medali Perak,Medali Emas,
20334,Nasional,,,,,
20335,Propinsi,,,Medali Perak,,
20337,,,,,,
20339,,,,,,
20344,,,,,,
20345,Nasional,,,,,
20346,Nasional,Nasional,Nasional,,,
20348,Kabupaten/Kota,Nasional,Kabupaten/Kota,,,
20349,,,,,,
20351,,,,,,
20353,,,,,,
20354,Kabupaten/Kota,Kabupaten/Kota,Kabupaten/Kota,,,
20355,Nasional,Kabupaten/Kota,,,,
20359,,,,,,
20365,,,,,,
20366,,,,,,
20367,,,,,,
20369,Propinsi,Kabupaten/Kota,,Juara 3,Juara 1,
20370,Nasional,Nasional,,,,
20371,,,,,,
20372,,,,,,
20373,,,,,,
20374,,,,,,
20377,Propinsi,Propinsi,,Juara 1,Juara 1,
20379,Kabupaten/Kota,Propinsi,Nasional,Juara 1,Juara 1,
20381,Propinsi,Kabupaten/Kota,Propinsi,,,Juara 2
20382,Nasional,Nasional,,,,
20385,,,,,,
20386,Propinsi,,,,,
20388,,,,,,
20390,Kabupaten/Kota,Kabupaten/Kota,Nasional,Juara 1,Juara 3,
20393,Nasional,Nasional,,,Medali Emas,
20398,Internasional,,,,,
20400,,,,,,
20401,Kabupaten/Kota,Propinsi,Nasional,Juara 3,,
20402,Nasional,Nasional,,,,
20403,Propinsi,Kabupaten/Kota,Kabupaten/Kota,Juara 3,Juara 1,Juara 1
20404,Nasional,,,,,
20405,,,,,,
20409,Nasional,Internasional,,,,
20410,Nasional,,,,,
20411,,,,,,
20412,,,,,,
20414,Propinsi,Propinsi,Propinsi,,,
20418,Propinsi,,,Juara 2,,
20421,Kabupaten/Kota,,,,,
20422,,,,,,
20423,Kabupaten/Kota,,,Juara 3,,
20425,,,,,,
20426,Nasional,Nasional,Nasional,,Medali Perak,
20427,,,,,,
20428,Internasional,Nasional,Nasional,,,
20430,Nasional,,,,,
20431,Kabupaten/Kota,Kabupaten/Kota,,Juara 3,Juara 2,
20433,Nasional,Nasional,,Medali Perunggu,Medali Perunggu,
20434,Nasional,Nasional,Nasional,Juara 3,Juara 2,Juara 3
20435,Nasional,Kabupaten/Kota,Nasional,,Juara 1,
20436,,,,,,
20438,,,,,,
20440,,,,,,
20441,Nasional,Nasional,Nasional,,,
20442,Nasional,Nasional,Propinsi,,Medali Perak,
20447,,,,,,
20448,,,,,,
20451,Nasional,,,,,
20456,,,,,,
20460,,,,,,
20461,,,,,,
20462,Internasional,Internasional,Internasional,Medali Emas,Medali Emas,Medali Emas
20463,Kabupaten/Kota,Nasional,,Juara 2,,
20464,,,,,,
